Course Code,Course Name
BSIS,Bachelor Of Science In Information System
BSCS,Bachelor Of Science In Computer Science
BSCA,Bachelor Of Science In Computer Application
BSCHE,Bachelor Of Science In Chemical Engineering
BSECE,Bachelor Of Science In Electronics
BSCE,Bachelor Of Science In Civil Engineering
BSN,Bachelor Of Science In Nursing
BSA,Bachelor Of Science In Accountancy
BSIT,Bachelor Of Science In Information Technology
BSCpE,Bachelor Of Science In Computer Engineering
BET-EET,Bachelor Of Engineering Technology Major In Electrical Engineering Technology
BET-MMT,Bachelor Of Engineering Technology Major In Metallurgical And Materials Engineering Technology
BET-MET,Bachelor Of Engineering Technology Major In Mechanical Engineering Technology
BSBA-BE,Bachelor Of Science In Business Administration Major In Business Economics
BSBA-MM,Bachelor Of Science In Business Administration Major In Marketing Management
BSENTREP,Bachelor Of Science In Entrepreneurship
BS HM,Bachelor Of Science In Hospitality Management
